bu_code,bu_naam,jaar,distance,number_of_rental,lbm,fys,onv,soc,vrz,won,lbmVUDistance,lbmRental,lbmVUScore
BU03940101,Hoofddorp West,2022,20.1,1,4.301010652787861,0.006411184481028,0.0576948013515192,0.0298975371849498,0.1017776725125418,0.0029646061141364,4.243944613740853,4.301184972787861,4.244118933740853
BU03940102,Hoofddorp Zuid,2022,20.1,2,4.1447055257741345,0.0257894475360131,-0.0350142596794906,-0.0282255962555706,0.0990878711283804,-0.019196788098883,4.087639486727126,4.145054165774135,4.087988126727127
BU03940103,Hoofddorp Graan voor Visch,2022,19.3,1,4.087154931247059,-0.0130142254031594,-0.0268798822368399,-0.0127426784797848,0.0633649723523826,-0.0258381061292241,4.0308612805908295,4.087329251247059,4.03103560059083
BU03940104,Hoofddorp Oost,2022,20.7,2,4.16849671591535,-0.007018371898838,-0.0042613240632508,0.0004947518538983,0.083972096221381,-0.0069552873415258,4.110871299777125,4.168845355915351,4.111219939777126
BU03940105,Hoofddorp Noord,2022,30.2,1,4.16168612351055,-0.0157000519200624,0.0221019492583097,0.0005371739416306,0.0579075790822672,-0.0054253779952805,4.096877660105734,4.16186044351055,4.097051980105734
BU03940106,Hoofddorp Pax West,2022,21.4,0,4.148145263011738,0.000484235573112,0.0025268194156765,0.0012897151835666,0.0280976939398143,0.0134819477558832,4.08988737932162,4.148145263011738,4.08988737932162
BU03940107,Hoofddorp Pax Oost,2022,21.0,0,4.16586962844989,-0.0056419614180772,-0.0004651244562204,0.0117269271708122,0.0405831256077361,0.0174018104019537,4.107970575216607,4.16586962844989,4.107970575216607
BU03940108,Hoofddorp Bornholm West,2022,21.8,0,4.071181953093491,0.0017675450317097,-0.0346761789989404,-0.0232910337733983,0.0248292049487788,0.0002875647416554,4.012571884338413,4.071181953093491,4.012571884338413
BU03940109,Hoofddorp Bornholm Oost,2022,21.7,0,4.149376765356453,0.0001834884404639,0.0098060659405884,0.0015721106696744,0.0250592914035394,0.0104909577585012,4.090854133307125,4.149376765356453,4.090854133307125
BU03940111,Hoofddorp Overbos Noord,2022,27.3,1,4.004448294566245,0.0051243528115642,-0.0484718366929553,-0.0394784624041353,-0.0042384216944256,-0.0107521885974882,3.9415597420516644,4.004622614566245,3.9417340620516645
BU03940112,Hoofddorp Overbos Zuid,2022,23.7,0,4.062205279684022,0.0087098415908305,-0.0240377143411441,-0.0150052847389551,-0.0055155290570972,-0.0042108849132969,4.0020060162297515,4.062205279684022,4.0020060162297515
BU03940113,Hoofddorp Toolenburg West,2022,22.8,0,4.149195024386281,0.0106493094238925,0.0288582339188466,0.0053919721993308,-0.0011128092055273,0.0031434669060527,4.089732012231681,4.149195024386281,4.089732012231681
BU03940114,Hoofddorp Toolenburg Oost,2022,20.0,5,4.112811086096669,-0.0077552935274869,0.026811641184255,-0.0013389252503739,-0.0125126671746085,0.005341479721198,4.05583989737097,4.113682686096669,4.05671149737097
BU03940115,Hoofddorp Vrijschot Noord,2022,23.3,0,4.380428555882862,0.018457582134036,0.0713602490531543,0.0989965139776121,0.016602067177315,0.0727472923970586,4.320553001520858,4.380428555882862,4.320553001520858
BU03940116,Hoofddorp Floriande West,2022,25.5,1,4.119499364208058,0.0085686602997605,0.0124600807795428,0.0181254010558876,-0.0337131421849968,0.0117935131141783,4.057907958677944,4.119673684208058,4.0580822786779445
BU03940117,Hoofddorp Floriande Oost,2022,24.4,2,4.131531659259429,0.0155894360656009,0.0063159783508143,0.0047490295434195,-0.0170797091860964,0.0196920733420047,4.070778834270087,4.1318802992594295,4.071127474270087
BU03940118,Hoofddorp Toolenburg Zuid,2022,21.5,0,4.1135231123088705,-0.0156832702382484,0.0516843049875589,0.0385376691920455,-0.0799336099280371,0.0166531671518658,4.055176569017614,4.1135231123088705,4.055176569017614
BU03940119,Hoofddorp De Landman,2022,18.3,0,4.204196909026334,-0.097044282519926,0.0795401236178025,0.0873915543514775,-0.0635559655857218,0.0956006280190162,4.148915063465739,4.204196909026334,4.148915063465739
BU03940122,Hoofddorp Omgeving,2022,32.0,0,4.230396080952669,-0.0768226191866041,0.0805995104941146,0.0939639675142351,-0.0479649943858032,0.0783553653730415,4.164486621707971,4.230396080952669,4.164486621707971
BU03940123,Hoofddorp De Hoek,2022,17.3,0,4.29299370289867,-0.0982236484558282,0.1142906873645991,0.0831469938345465,0.0039435301612325,0.0875712888504347,4.238780534541648,4.29299370289867,4.238780534541648
BU03940124,Hoofddorp Graan voor Visch Zuid,2022,19.3,0,3.6716872943847543,0.001016381234887,-0.0864468456117087,0.0238363575325317,0.0091500055701007,-0.3781334554847422,3.615393643728525,3.6716872943847543,3.615393643728525
BU03940125,Hoofddorp Beukenhorst Oost,2022,17.7,0,3.7900387708518606,0.0206752548120594,-0.3225740074118662,-0.0310004129736304,-0.0420018360663314,0.0626749213479437,3.735390898996884,3.7900387708518606,3.735390898996884
BU03940126,Hoofddorp De President,2022,19.9,0,3.7287040257010298,-0.039273352376287,-0.2874871752232261,0.0275759503349517,-0.0342539944297287,-0.040122253748366,3.6718281627388327,3.7287040257010298,3.6718281627388327
